,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
71,2020-02-28 23:56:18,CaliLiliIndies,"'hell no u didn't throw 
#HER out of eden
SheWalkedOut™
w her MFFreedom
these boots were made4
#LipsNLiberties™🏄🏽‍♀️🏄🏼‍♀️🏄🏿‍♀️'©
 pic.twitter.com/hXbe4US3gw
🎬  https://itunes.apple.com/us/movie/eve-n-god-this-female-is-not-yet-rated/id1447735793 …
🎵  https://music.apple.com/us/album/this-female-is-not-yet-rated/1402313761 …
🎙️  https://medium.com/@mondofilm/interview-with-cali-lili-from-eve-n-god-this-female-is-not-yet-rated-6d50611b758e …
#Roe🗽 #Pride🏳️‍🌈 #BLM #ClimateChange
TY!  @NooneOfan","['#her', '#lipsnliberties', '#roe', '#pride', '#blm', '#climatechange']",0,0,0,PDT,,
72,2020-02-28 23:27:11,DrLindaShelton,Time to ignore Trump & his CULT #25thAmendment #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/altNOAA/status/1233645785079799808 …,"['#25thamendment', '#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,1,0,PDT,,
73,2020-02-28 23:25:03,RealDealAxelrod,I never understood why #BLM and the Democrats call Border Patrol and Cops of color White Supremacist 🤷🏾‍♂️  pic.twitter.com/ZnSwPH2sMq,['#blm'],44,2,9,PDT,,
74,2020-02-28 23:21:42,babbarfan43,It's Dolzeal loves Brady made believe #Stand4thaAnthum her #BLM scott adams,"['#stand4thaanthum', '#blm']",0,0,0,PDT,,
75,2020-02-28 23:19:33,DrLindaShelton,While roam burned Trump spews #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/flitedocnm/status/1233636339876106240 …,"['#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",1,0,0,PDT,,
76,2020-02-28 23:18:52,DrLindaShelton,Gagging doctors & scientists during epidemic is DANGEROUS #25thAmendment #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/jilevin/status/1233642347470184448 …,"['#25thamendment', '#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
77,2020-02-28 23:17:21,DrLindaShelton,The stupidity of #MAGA Embarrassing #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/AryaKicksButt/status/1233406034904903681 …,"['#maga', '#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
78,2020-02-28 23:15:50,DrLindaShelton,"He's confusing & lies NOT LEADING 
#VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/DanRather/status/1233580110596362242 …","['#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
79,2020-02-28 23:13:59,DrLindaShelton,BIDEN/WARREN #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/GabbieKDrice/status/1233358698279469056 …,"['#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
80,2020-02-28 23:05:24,DrLindaShelton,Don't be stupid #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/tedlieu/status/1233597848752517121 …,"['#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,2,PDT,,
81,2020-02-28 23:03:55,DrLindaShelton,Trump is crazy @VP UNFIT Danger to America #25thAmendmentNOW #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/BryanDawsonUSA/status/1233614076389052416 …,"['#25thamendmentnow', '#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,1,PDT,,
82,2020-02-28 22:36:32,xxxGoodScarxxx,I understand the struggle #jim #crow IS #blm,"['#jim', '#crow', '#blm']",0,0,1,PDT,,
83,2020-02-28 21:49:27,BHM_Pirate,"#Democrats2020! They maintained #WhiteSupremacy, unlike the #Republicans who abolished slavery! #BlackTwitter #BlackHistoryMonth #BLM #TheRoot #CNN #AMJoy #MSNBC #MAGA #WalkAway #TYT #Racism  https://twitter.com/thewillwitt/status/1233587696615878656 … pic.twitter.com/w5ZxPHFPp9","['#democrats2020', '#whitesupremacy', '#republicans', '#blacktwitter', '#blackhistorymonth', '#blm', '#theroot', '#cnn', '#amjoy', '#msnbc', '#maga', '#walkaway', '#tyt', '#racism']",0,1,0,PDT,,
84,2020-02-28 21:25:06,MissionaryBLMM,"#ThisIsALMBLMAS #ALMBLMAS #ALMBLMAW
📚💻📐💹📜🎼🚌📰📊📹💡🔭📝🔬
💒📖🙏GLORY FOR GOD! #AllGiftsMatter
🌎🌏🌍🌎 #WORLDWIDE 🌍🌎🌏🌍
#AllLivesMatterBlackLivesMatterWeekAtSchool
 & 👠 #ALM© &amp; #BLM© AT WORK👔
UNITED WE STAND! #OneNationUnderGod
#BeBest #AllAreIncludedNoneAreLeftOut https://twitter.com/FLOTUS/status/1233495327342317571 …","['#thisisalmblmas', '#almblmas', '#almblmaw', '#allgiftsmatter', '#worldwide', '#alllivesmatterblacklivesmatterweekatschool', '#alm', '#blm', '#onenationundergod', '#bebest', '#allareincludednoneareleftout']",0,0,0,PDT,,
85,2020-02-28 21:23:40,BadTwitBot,Question for #BLM twitter. Would you tactically align with #nazis to oppose Martin Shkreli continuing the war on the homeless?,"['#blm', '#nazis']",0,0,0,PDT,,
86,2020-02-28 21:10:33,ImCeeBrown,#TheBachelor #HillaryClinton #WomanCard  had beheld it with the utmost horror:  But they were rouzed from  #CTL #sgp #BLM #sgp #sgp https://www.ebay.com/itm/Hillary-Clinton-Woman-Card-Pet-Charm/282277109678 …,"['#thebachelor', '#hillaryclinton', '#womancard', '#ctl', '#sgp', '#blm', '#sgp', '#sgp']",0,0,0,PDT,,
87,2020-02-28 21:02:19,Bugsy5117,"Proud to be part of the @YMCASeattle where we support #WeWearBlack Day.
#yforall
#blm
@GlobalYMCA pic.twitter.com/VozmRpAO1N","['#wewearblack', '#yforall', '#blm']",14,1,7,PDT,,
88,2020-02-28 20:43:06,SezStick,"Someone explain to this fool that it is illegal to sell human beings in an AUCTION.
Because he disagrees with my dumb White a** and wants to make it legal again.
Mmmmmm k?
Thanks.
#BLM #BlackTwitter #BlackHistoryMonth #drawingwhileblack #BlackTwitterLive https://twitter.com/PeterLiuCAGov18/status/1233585327043858432 …","['#blm', '#blacktwitter', '#blackhistorymonth', '#drawingwhileblack', '#blacktwitterlive']",2,1,0,PDT,,
89,2020-02-28 20:40:41,bmcarthur17,"We will not be silenced. Black Lives Matter.
#BLM
#blm20 pic.twitter.com/zoH6Glqpek","['#blm', '#blm20']",0,0,0,PDT,,
90,2020-02-28 20:31:24,BHM_Pirate,Ex-NFL player declares Trump America's 'first black president'  https://thehill.com/changing-america/respect/diversity-inclusion/485162-ex-nfl-player-declares-trump-first-black … #BlackHistoryMonth #BlackGirlMagic #BlackTwitter #BLM #TheRoot #MAGA pic.twitter.com/fm0owB2bSS,"['#blackhistorymonth', '#blackgirlmagic', '#blacktwitter', '#blm', '#theroot', '#maga']",1,2,0,PDT,,
91,2020-02-28 20:08:56,KarimWebb,“Black Activism does not equate to Terrorism”  #aliciagarza #BLM,"['#aliciagarza', '#blm']",0,0,0,PDT,,
