,date,username,tweet,hashtags,nlikes
288,2020-06-16 10:04:54,WarRoomPandemic,"Bannon: This is a global revolt. We're going through a Cultural Revolution right now, with elements of #BLM and #Antifa as the Red Guard.

#WarRoomPandemic
👉 http://warroom.org/podcast  pic.twitter.com/jt8UDpckbz","['#blm', '#antifa', '#warroompandemic']",234
289,2020-06-16 10:04:24,mishellybug,"Armed Trump supporters become physical with protesters and police officers stand by and do nothing in Bethel, Ky. When we elect Joe Biden, he will ensure police and gun reform. Nov. 3,2020 we can evict the peach. It’s #BidenTime #BLM #GoJoe #Dems4USA https://www.rawstory.com/2020/06/gun-toting-trump-supporters-attack-george-floyd-protesters-in-rural-ohio-town/ …","['#bidentime', '#blm', '#gojoe', '#dems4usa']",40
290,2020-06-16 10:03:49,therealrkim,"It cost $0 to retweet my post & possibly change my life forever with my designs on #racism , #blm !! |  http://demodestudios.com  pic.twitter.com/PfG8H3Xkbz","['#racism', '#blm']",82
291,2020-06-16 10:02:28,Siralanhe,#Blm are so sweet and inncocent and never put a foot wrong were told?,['#blm'],20
292,2020-06-16 10:01:00,BlinkEsportsRD,"Thanks to everyone who tuned in to the #BlinkAllStar. We raised $720 and will match contributions to $1,500 which we will be donating to the #BLM movement via ActBlue Charities. We are truly thankful for all of the support and will continue to support the movement however we can.  pic.twitter.com/ma0gbFO9bw","['#blinkallstar', '#blm']",54
293,2020-06-16 10:00:48,MadScientistPod,"People have been leaving no name, no comment 1 star reviews on podcasts supporting #BLMMOVEMENT #BLM #BlackLivesMattters and the #protest2020 for justice. Bring em on. We support our fellow human beings.","['#blmmovement', '#blm', '#blacklivesmattters', '#protest2020']",20
294,2020-06-16 10:00:24,PhilRogers81,"The far right predictably delighted with Fury’s interview w/ @MichellePhelps yesterday.
All those white men feeling threatened by #BLM & thinking of themselves as the victims of a supposedly discriminatory PC culture have a new champion, & an interviewer who’ll just nod along.",['#blm'],12
295,2020-06-16 10:00:16,therealdouble_a,"Seems like racist white women keep on lying just to get black people arrested or killed hasn’t changed. Amy Cooper, Svitlana Flom, and countless others before.   I just don’t have the words for it anymore. Any decent person should know by now #BLM",['#blm'],55
296,2020-06-16 09:53:51,Vero_Garabelli,"Two @theCT journalists were subjected to pepper spray by police while covering the #BLM protests. I support the statement issued today by @RobertsonSchool + 
@vcustudentmedia in support of these journalists and a free press.  https://robertson.vcu.edu/news/joint-statement-on-student-reporting-at-richmond-protests.html …",['#blm'],17
297,2020-06-16 09:53:46,womendontdothat,Love this quote... let’s change! This interview is inspiring and honest and it’s hard not to take notice and act. Get the episode  https://www.womendontdothat.com/podcast/episode/beab0631/racism-and-you-with-advocate-entrepreneur-and-former-mp-celina-caesar-chavannes-ep47 … or search womendontdothat where you listen. #blm #priveledge #allyship #ally #blacklivesmatter @iamcelinacc @StephanieMitton pic.twitter.com/jzA8sTe48M,"['#blm', '#priveledge', '#allyship', '#ally', '#blacklivesmatter']",15
298,2020-06-16 09:52:31,Megavolts001,"#BLM
#Communism
Shocker: Communist Party USA Endorses “Black Lives Matter” https://onenewsnow.com/media/2020/06/15/billion-dollar-corporation-links-arms-with-commie-endorsed-blm …","['#blm', '#communism']",16
